document1,document2,label,antecedent,
그래서 눈치채가지고 ,먹고 그다음에 또 여기 앉아서 그때 언니가 눈치챘어요.,,언니,
딱 민우 오빠랑 저랑 둘이 있었는데 딱 쳐다봐서,그때 언니가 눈치챘어요. 그래서 눈치채가지고 ,,언니,
그리고 동생하고 사귀냐고 막 물어봤는데,"그래서 언니가 눈치채가지고 딱 민우 오빠랑 저랑 둘이 있었는데 딱 쳐다봐서 민우 오빠한테 왜 지금 내 동생한테 뭐하는 짓, 아니 뭐하냐고.",,언니,
계속 화내가지고,"그런데 약간 언니, 민우 오빠랑 저랑 같이 있어서 화낸, 화났나봐요.",,언니,
"그때 싸워가지고, 그때 싸워서 한바탕","그런데 약간 언니, 민우 오빠랑 저랑 같이 있어서 화낸, 화났나봐요.",,언니,
그래서 화를 내가지고 막 발로 차고 막 밀었는데.,"그런데 약간 언니, 민우 오빠랑 저랑 같이 있어서 화낸, 화났나봐요. 계속 화내가지고 그때 싸워가지고, 그때 싸워서 한바탕, 민우 오빠를 쳤어요, 언니가.",,언니,
그래서 언니가 잘못한 거 없냐고 했는데 없다고 하면서.,민우 오빠도 화냈나봐요. 왜 나를 미냐고.,,민우 오빠,
쳐다봤는데 무서워가지고,"저는 그냥 쳐다봐, 쳐다봤는데 무서워가지고",,저,
그래서 화를 내가지고,"둘이 막 욕, 언니가 민우 오빠한테 욕하고 그다음에 화를 냈어요.",,언니,
너무 무서웠어요.,"저는 그냥 쳐다봐, 쳐다봤는데 무서워가지고 저는 가만히 있었고. 둘이 막 욕, 언니가 민우 오빠한테 욕하고 그다음에 화를 냈어요.",,저,
말을 안하고 그냥 앉아있었고,그래서 언니가 화를 내가지고 저는 너무 무서웠어요.,,저,
"그다음에 싸웠고, 싸워, 싸워, 싸웠고.","둘이 막 욕, 언니가 민우 오빠한테 욕하고 그다음에 화를 냈어요. 그래서 언니가 화를 내가지고 너무 무서웠어요.",,둘,
깜짝 놀라가지고.,"저는 말을 안하고 그냥 앉아있었고, 그다음에 싸웠고, 싸워, 싸워, 싸웠고. 그다음에 끝나고 언니가 아직 화를 안 풀어가지고 문을 쾅 닫았어요.",,저,
그래서 기분 안 좋아서,그래가지고 저는 민우 오빠랑 안사귀는데.,,저,
한바탕 언니랑 싸웠어요.,그래가지고 저는 민우 오빠랑 안사귀는데. 그래서 제가 기분 안좋아서,,저,
한 번 있었는데.,그럼 민우 오빠가 그렇게 이제 00 양 몸을 만진 거는 한 번 이에요? 한번 보다 많이 있었어요?,,00 양 몸을 만진 거,
"두 번째로 또 내 가슴 만지려고 했는, 가슴 또 만지려고 했어요.",그럼 민우 오빠가 그렇게 이제 00 양 몸을 만진 거는 한 번 이에요? 한 번 보다 많이 있었어요? 한 번 있었는데. 딱 한 번?,,민우 오빠,
다 먹고 문 열고 제 옆에 앉았어요.,그랬는데 어떻게 하다가 이제 민우 오빠가 00 양이 있는 침대로 오게 된 거예요?,,민우 오빠,
문 열고 바로 저한테 와서 앉았어요.,민우 오빠는 다 먹고. 먼저 다 먹고.,,민우 오빠,
"그때 와서 앉아가지고 먼저 번호를, 아니 내 번호를 알려, 알려달래요","그럼 그렇게 민우 오빠가 앉았을 때부터 그날 있었던 일들 아주 자세하게 얘기해줄래요? 조금 전에도 말 잘했는데 조금 전 것 포함해서 더 자세하게 그때 누가 어떤 행동했고, 어떤 말들이 있었고 이런 것들을 알 수 있게끔 자세하게 그런 이야기들을 해주세요.",,민우 오빠,
그런데 갈수록 가니까 이상해지고,"그런데 제가 딱 생각났는데 딱 민우 오빠 처음 왔을 때 약간 착한, 착한 사람일 줄 알았어요.",,민우 오빠,
그래서 할 수 없이 답장해줬어요.,"그런데 제가 딱 생각났는데 딱 민우 오빠 처음 왔을 때 약간 착한, 착한 사람일 줄 알았어요. 그런데 갈수록 가니까 이상해지고",,제,
라면 먹고 일어나서,그래요. 그때 그러면 우리 그날만 얘기해볼게요. 첫날 민우 오빠가 라면을 먹고 왔어요. 그다음에 있었던 일들을 자세하게 얘기해줄래요?,,민우 오빠,
문 열고 저를 쳐다보고 와서 저한테 물어봤어요.,그래요. 그때 그러면 우리 그날만 얘기해볼게요. 첫날 민우 오빠가 라면을 먹고 왔어요. 그다음에 있었던 일들을 자세하게 얘기해줄래요?,,민우 오빠,
그래가지고 그거밖에 얘기 안 했는데.,"라면 먹고 일어나서 문 열고 저를 쳐다보고 와서 저한테 물어봤어요. 와서 앉아서, 앉아가지고 물어봤어요.",,저,
그래서 깜짝 놀라서,민우 오빠가 언니 자니까 조용히 제 옆으로 누워가지고 있는 거예요.,,제,
계속 제 언니랑 같이 자라고 했는데,민우 오빠가 언니 자니까 조용히 와서 제 옆으로 누워가지고 있는 거예요. 그래서 깜짝 놀라서 내 침대에서 자면 안 된다고.,,제,
언니랑 같이 안 잔대요.,민우 오빠가 언니 자니까 조용히 와서 제 옆으로 누워가지고 있는 거예요. 그래서 깜짝 놀라서 내 침대에서 자면 안 된다고. 계속 제 언니랑 같이 자라고 했는데,,민우 오빠,
그리고 저보고 누우래요.,민우 오빠가 언니 자니까 조용히 와서 제 옆으로 누워가지고 있는 거예요. 그래서 깜짝 놀라서 내 침대에서 자면 안 된다고. 계속 제 언니랑 같이 자라고 했는데 언니랑 같이 안 잔대요. 같이 안 자가지고.,,민우 오빠,
그때 원래는 하지 말라고 해야 되는데 말을 못 하는.,"그런데 처음에는 내 몸 만지, 만질 때, 내 몸 만질 때 제가 그런 생각했어요. '얘가 왜 내 몸을 만지지?' 했는데",,제,
말을 못 하고,"그런데 처음에는 내 몸 만지, 만질 때, 내 몸 만질 때 제가 그런 생각했어요. '얘가 왜 내 몸을 만지지?' 했는데. 그때 원래는 하지 말라고 해야 되는데 말을 못 하는.",,제,
"그렇게 돼서 갑자기 손을, 손을 잡았고.","그런데 처음에는 내 몸 만지, 만질 때, 내 몸 만질 때 제가 그런 생각했어요. '얘가 왜 내 몸을 만지지?' 했는데. 그때 원래는 하지 말라고 해야 되는데 말을 못 하는.",,얘,
계속 안고 그랬는데.,"아니 볼에 민우 오빠가 저한테 뽀뽀한 거, 뽀뽀한 거예요. 뽀뽀하고.",,민우 오빠,
그렇게 해서 같이 잤고.,"아니 볼에 민우 오빠가 저한테 뽀뽀한 거, 뽀뽀한 거예요. 뽀뽀하고.",,저,
"그리고, 그리고 손도, 제 손도 잡아, 아니 만졌어요.","왼쪽, 아니 갑자기, 갑자기 민우 오빠 손을, 손을, 슬쩍 가슴 만지는 거예요. 지금 여기 하트 있는데 민우 오빠가 그쪽 가슴을 만진 거야?",,민우 오빠,
만지고 그다음에 여기 볼 있잖아요.,"그리고, 그리고 손도, 민우 오빠가 제 손도 잡아, 아니 만졌어요.",,민우 오빠,
저한테 그런 행동을 해서.,그런데 자기가 가르쳐주겠다고,,자기,
이야기를 하다가요. ,"그냥 저는 아빠니까, 그때 당시에는 아빠라고 생각을 했으니까 둘이 같이 누워 있었어요.",,둘,
그런데 침대 안방에서 누워 있다가 그렇게 된 거예요.,"그냥 저는 아빠니까, 그때 당시에는 아빠라고 생각을 했으니까 둘이 같이 누워 있었어요. 이야기를 하다가요. ",,둘,
"아파가지고 하지 말라고 그러고,","저는 그게 어리둥절했으니까요. 그게 뭔지도 모르고, 막 아픈 거예요. 손을 넣어가지고요. 그때는 아직 가슴이 나오지 않을 때니까, 손을 팬티에 넣어가지고, 손을 질 그쪽에 넣어가지고",,저,
바지 속에 막 넣고 하니까,"그때는 휴대폰도 없었으니까, 그래서 물어보게 됐는데, 물어보니까 자기가 가르쳐주겠다고 하고서 그냥 뭔지도 모르고 그냥 가만히 있었죠. 그런데 제가 막 아프다고,",,자기,
아프다고 하지 말라고 하고 나서 ,"그때는 휴대폰도 없었으니까, 그래서 물어보게 됐는데, 물어보니까 자기가 가르쳐주겠다고 하고서 그냥 뭔지도 모르고 그냥 가만히 있었죠. 그런데 제가 막 아프다고, 바지 속에 막 넣고 하니까",,,
저한테 너는 아직 아기라서 아픈 거라고,"그때는 휴대폰도 없었으니까, 그래서 물어보게 됐는데, 물어보니까 자기가 가르쳐주겠다고 하고서 그냥 뭔지도 모르고 그냥 가만히 있었죠. 그런데 제가 막 아프다고, 바지 속에 막 넣고 하니까 아프다고 하지 말라고 하고 나서 ",,자기,
다 그런 줄 알고 아무 것도 모르는 상태에서 엄마한테 딱히 말을 판단력이 없으니까 그렇게 하고 그냥 넘어갔던 것 같아요. ,그런데 그걸 저는 애들 다 그런 줄 알았어요. ,,저,
물어봤다가 그렇게 됐어요. ,"저는 애들 다 그런 줄 알았어요. 다 그런 줄 알고 아무 것도 모르는 상태에서 엄마한테 딱히 말을 판단력이 없으니까 그렇게 하고 그냥 넘어갔던 것 같아요. 
응. 그랬구나. 
네. 
그러면 섹스가 뭔지 물어봤던 건 어디에서 그렇게 물어본 거예요? 
그냥 서로 일상적인 대화를 주고받다가 침대에서 누워서 서로 따로 누워가지고 ",,저,
"아프기도 하고, “이게 뭐지?”하기도 하고, 너무 기분이 뭐라고 해야 되지? 기분이 나쁘고, 너무 당황스럽고, 어벙벙 해가지고, 놀랐어요. 놀라가지고. ","그래서 저는 아무 것도 모르니까 그냥 아프기만 하니까 놀라서 하지 말라고 뿌리친 다음에 나갔어요. 
그러면 그 과정에서 박지원 씨가 한 말이나 어떤 다른 행동들 같은 게 있어요?
잘 모르겠어요.
그냥 아빠니까 가르쳐주겠다고 그것만 기억들었어요? 
너무 뭐라고 해야 되지?",,저,
덜컹 했는데 그걸 엄마한테는 말할 수가 없었어요. ,"내가 잘못 된 거였구나, 그 사람이 나한테 그런 게 나쁜 행동이었구나, 덜컹했죠.",,내,
‘다른 애들도 당연히 아빠한테 이런 성교육을 받는 거구나.‘ 이렇게 생각을 했었죠. ,"“나만 그런 거였구나.“라고 얘기를 해줬거든요. 그런데 그러면 그전까지는 나만 그러는 게 아니라고 생각했어요? 
네. 
어떻게 생각했어요?",,나,
"그래서 특별히 애들한테 말을 꺼내지도 않았고, 평범한 일이구나해서 그렇게 넘겨짚었던 것 같아요. ","“나만 그런 거였구나.“라고 얘기를 해줬거든요. 그런데 그러면 그전까지는 나만 그러는 게 아니라고 생각했어요? 
네. 
어떻게 생각했어요? ‘다른 애들도 당연히 아빠한테 이런 성교육을 받는 거구나.‘ 이렇게 생각을 했었죠. ",,나,
아프고 기분이 나쁘고 그러니까 이건 아닌 것 같은데 하고 나왔다는 말이에요.,"이건 아니다 싶은 때가 손을 넣었을 때 딱 그때 이건 아닌 것 같고, 제가 아무리 어려도 이건 제가 아프잖아요.",,제,
그때 어렴풋이 이건 아니라고 생각을 했던 것 같아요. ,그 뒤에 제가 뿌리치면서 나오려고 했을 때 그때도 이건 진짜 아니다 싶은 거죠. ,,제,
"그런데 깨있어도 너무 당황스럽고, 어떻게 할 수 없잖아요. ",항상 집에 아무도 없거나 동생이 자고 있을 때나 일단 엄마는 집에 안 계실 때 제가 자고 있거나 아니면 쇼파에서 누워서 자고 있을 때 항상 와가지고 그랬었어요.,,제,
"너무 싫고, 너무 수치스럽고, 기분도 더럽고 막 그래서 딱 뛰쳐나오려고 했는데","제가 몸을 비틀고 자는 척하면서 피했는데, 한 번 제가 뿌리치고 딱 나오려고 그랬어요.",,제,
갑자기 세게 잡고 끌어들이는 거예요.,그 사람이 제 팔을 갑자기 엄청 세게 잡는 거예요.,,그 사람,
그런데 그 뒤에도 여러 번 했었어요,그래서 그 사람이 아빠가 미안하다고 다시는 안 그러겠다고 그랬었어요.,,그 사람,
"자고 있었는데,",저는 자고 있었거든요. ,,저,
"거기에 계속 비비고,","누가 옆에 누워가지고 또 바지 속에 손 넣고, 막 자기 성기를 제 엉덩이 뭐라고 해야 되지, 골?
응.",,누가,
너무 놀래가지고 일어났죠.,"저는 그냥 잤죠. 누가 옆에 누워가지고 또 바지 속에 손 넣고, 막 자기 성기를 제 엉덩이 뭐라고 해야 되지, 골?
응.
거기에 계속 비비고,",,저,
"벌떡 일어나서 도망가려고 했는데,","저는 그냥 잤죠. 누가 옆에 누워가지고 또 바지 속에 손 넣고, 막 자기 성기를 제 엉덩이 뭐라고 해야 되지, 골?
응.
거기에 계속 비비고, 너무 놀래가지고 일어났죠.",,저,
팔을 잡아서 끌었어요.,"저는 그냥 잤죠. 누가 옆에 누워가지고 또 바지 속에 손 넣고, 막 자기 성기를 제 엉덩이 뭐라고 해야 되지, 골?
응.
거기에 계속 비비고, 너무 놀래가지고 일어났죠. 벌떡 일어나서 도망가려고 했는데,",,누가,
"애니까, 그래가지고 그냥 운거죠.",제가 힘이 없잖아요.,,제,
다시는 안 그러겠다고 그랬어요.,그 다음에 갑자기 자기가 미안하다고 아빠가 미안하다고,,아빠,
그리고 그 뒤는 잘 기억이 안 나요.,그래가지고 저는 그냥 어이가 없었어요.,,저,
그렇게 사과하고. ,"그 다음에 갑자기 자기가 미안하다고 아빠가 미안하다고 다시는 안 그러겠다고 그랬어요.
그래가지고요. 
그래가지고 저는 그냥 어이가 없었어요. 그리고 그 뒤는 잘 기억이 안 나요. ",,아빠,
그때 제 방에서 자고 있었어요.,"그래가지고 저는 그냥 어이가 없었어요. 그리고 그 뒤는 잘 기억이 안 나요. 그렇게 사과하고. 
그러면 그때 잠을 자고 있었다고 했잖아요. 
네. 
어느 방 바닥에서 자고 있었던 거예요? ",,저,
"깬 다음에 뿌리치고 일어나서 가려고 했는데, 딱 잡았어요. 제 팔목을","자다가 언제 그렇게 알게 됐는지, 어떻게 그 사람이 어떤 행동을 하는지 알게 됐는지를 물어보는 거예요. 
속옷 속에 손이 들어오니까 그때 딱 알았어요. 그때 딱 놀라서 깼어요.
응. 놀라서 깼어요? 
네. 
그렇게 깬 다음에. ",,그 사람,
그 다음에 미안하다고 사과한 거예요.,"자다가 언제 그렇게 알게 됐는지, 어떻게 그 사람이 어떤 행동을 하는지 알게 됐는지를 물어보는 거예요. 
속옷 속에 손이 들어오니까 그때 딱 알았어요. 그때 딱 놀라서 깼어요.
응. 놀라서 깼어요? 
네. 
그렇게 깬 다음에.
깬 다음에 뿌리치고 일어나서 가려고 했는데, 딱 잡았어요. 제 팔목을",,그 사람,
그냥 사람이 들어왔나 보다 하고 잤죠.,제가 잠결에 정확히 일어나지는 않았고요.,,제,
그런데 갑자기 제 옆에 누워가지고,"그 사람이 무슨 행동하고, 무슨 행동하고 그랬는지 알 수 있게. 
그 날에요? 
응. 그 날만. 
제가 잠결에 정확히 일어나지는 않았고요. 그냥 사람이 들어왔나 보다 하고 잤죠. 우리 집이니까요. ",,그 사람,
"막 자기 생식기를 제 엉덩이에 비비고, 갑자기 손을 제 속옷 속에 넣어서 제 생식기를 만져서","그 사람이 무슨 행동하고, 무슨 행동하고 그랬는지 알 수 있게. 
그 날에요? 
응. 그 날만. 
제가 잠결에 정확히 일어나지는 않았고요. 그냥 사람이 들어왔나 보다 하고 잤죠. 우리 집이니까요. 그런데 갑자기 제 옆에 누워가지고 저는 그래도 막 그냥 잤는데,",,그 사람,
"너무 깜짝 놀라서 일어나서 달려가려고, 도망가려고 했는데,","그런데 갑자기 제 옆에 누워가지고 저는 그래도 막 그냥 잤는데, 막 자기 생식기를 제 엉덩이에 비비고, 갑자기 손을 제 속옷 속에 넣어서 제 생식기를 만져서",,저,
그때 울음을 터트려가지고,저는 그때도 더 놀라가지고 ,,저,
"이건 안 좋은 일, 추행이라고 정확히는 알지 못하고 그냥 이건 아니다 싶어서 일어났던 것 같아요. ",저번에 제가 아프다고도 했는데 옆에 누워서 했기 때문에,,제,
그때도 자는 척을 했다는 말이에요.,"제가 그래도 잠결에 일어났는데,",,제,
너무 당황스럽고,"제가 그래도 잠결에 일어났는데, 그때도 자는 척을 했다는 말이에요.",,제,
그래서 그냥 계속 자는 척을 했는데,"집에 아무도 없었기 때문에 제가 일어나서 뭐 어떻게 해야 될지도 모르겠고,",,제,
그래서 계속 자는 척하다가,"제가 일어나서 뭐 어떻게 해야 될지도 모르겠고, 그래서 그냥 계속 자는 척을 했는데 위에도 손이 올라와가지고 계속 제 가슴을 만지고, 또 밑에 제 성기도 만지고, 또 자기 성기를 제 엉덩이에 비비고 막 그랬었거든요.
응. 응. 
네. ",,제,
"그냥 맨투맨 위에 상의입고, 밑에 바지 입고 그냥 잠들었어요.","그러면 그때 ○○ 양 뭐 입고 있었는지, 기억나요? 두꺼운, 두껍진 않아요. ",,○○ 양,
부엌 쪽으로 머리를 두고 잤다는 말이에요.,"○○ 양의 오른쪽? 어느 쪽이죠. 그러면? 
그때 집 구조를 생각하면 창문이 있는 쪽이 있고, 부엌이 있는 쪽이 있는데,",,○○ 양,
부엌 쪽으로 머리를 두고 잤으며 제 왼쪽에 있었어요.,"○○ 양의 오른쪽? 어느 쪽이죠. 그러면? 
그때 집 구조를 생각하면 창문이 있는 쪽이 있고, 부엌이 있는 쪽이 있는데, 부엌 쪽으로 머리를 두고 잤다는 말이에요.",,○○ 양,
"제 가슴을 계속 반복적으로 가슴도 만지고, 제 생식기도 만지고 이러고 있다가","그렇게 자고 있었고, 그 사람이 와가지고 어린 친구들이 입는 브래지어 올릴 때 ○○ 양이 잠에서 깨어났다는 얘기를 해주는 거죠? 
네. 
그러다가 그렇게 행동을 했다는 거고, 그러면 어떤 행동을 하고 있었는데 엄마가 오신 거예요? ",,그 사람,
어머니가 “띠리리릭” 비밀번호 누르는 소리에 일어나서 간 거예요.,"그렇게 자고 있었고, 그 사람이 와가지고 어린 친구들이 입는 브래지어 올릴 때 ○○ 양이 잠에서 깨어났다는 얘기를 해주는 거죠? 
네. 
그러다가 그렇게 행동을 했다는 거고, 그러면 어떤 행동을 하고 있었는데 엄마가 오신 거예요? 
제 가슴을 계속 반복적으로 가슴도 만지고, 제 생식기도 만지고 이러고 있다가",,그 사람,
너무 딱 깨면,"이 사람이 그렇게 막 만지고, 엄마가 비밀번호를 누르시기까지 ○○ 양이 한 어떤 다른 행동이나 말이 있는지 물어보는 거예요. 
그래서",,○○ 양,
그래서 계속 피해보려고 뒤척였어요.,"그래서 너무 딱 깨면 제가 뭘 해야 될지, 어떻게 해야 될지 너무 대처도 못하겠고, 그냥 엄마가 빨리 왔으면 좋겠고,",,제,
몸을 뒤집어도 보고 계속 뒤척였어요.,"그래서 너무 딱 깨면 제가 뭘 해야 될지, 어떻게 해야 될지 너무 대처도 못하겠고, 그냥 엄마가 빨리 왔으면 좋겠고, 그래서 계속 피해보려고 뒤척였어요.",,제,
제가 몸을 뒤척이면 또 따라서 와가지고 계속 저를 만졌어요.,그렇게 했을 때 지금 아빠의 어떤 반응이나 이런 게 조금 달라지거나 한 건 없었어요? ,,아빠,
뿌리치고 싶다.,"그랬구나, 그 과정에서 ○○ 양이 한 어떤 생각이나 이런 게 있을까요? 
그냥 엄마가 빨리 왔으면 좋겠다고 하고, 빨리 엄마 왔으면 좋겠다.",,○○ 양,
너무 수치스럽고 기분이 안 좋았어요.,"그랬구나, 그 과정에서 ○○ 양이 한 어떤 생각이나 이런 게 있을까요? 
그냥 엄마가 빨리 왔으면 좋겠다고 하고, 빨리 엄마 왔으면 좋겠다. 뿌리치고 싶다.",,○○ 양,
그냥 수치스럽고 너무 더러웠어요. ,"그랬구나, 그 과정에서 ○○ 양이 한 어떤 생각이나 이런 게 있을까요? 
그냥 엄마가 빨리 왔으면 좋겠다고 하고, 빨리 엄마 왔으면 좋겠다. 뿌리치고 싶다. 너무 수치스럽고 기분이 안 좋았어요.",,○○ 양,
항상 너무 불안해서요.,제가 문을 잠그고 잤었어요.,,제,
아침에 일어났는데,제 방을 아예 공부만 하는 방으로 만든 다음에 제가 제 방에서 동생하고 같이 자고 있었어요.,,제,
그래서 저한테 일어나라고 그런 식으로 이불에 제 침대에 올라와서 ,"그 사람이 또 남들이 보기에는 장난으로 보이지만 이불 속에서는 무슨 일이 일어나는지 모르잖아요. 그 사람들은. 
응. ",,그 사람,
제 방에 들어와서,"그 사람이 또 남들이 보기에는 장난으로 보이지만 이불 속에서는 무슨 일이 일어나는지 모르잖아요. 그 사람들은. 
응. 
그래서 저한테 일어나라고 그런 식으로 이불에 제 침대에 올라와서 중학생인데, 그것도 이제 고등학생 올라가려고 하고 그런 상황인데",,그 사람,
"계속 제 가슴하고, 제 엉덩이하고 그런 곳을 터치를 하잖아요.","그 사람이 또 남들이 보기에는 장난으로 보이지만 이불 속에서는 무슨 일이 일어나는지 모르잖아요. 그 사람들은. 
응. 
그래서 저한테 일어나라고 그런 식으로 이불에 제 침대에 올라와서 중학생인데, 그것도 이제 고등학생 올라가려고 하고 그런 상황인데 제 방에 들어와서 저한테 그런 식으로 누워서 제가 뿌리치는 과정에서",,그 사람,
그렇게 말을 하면서,"계속 아빠인데 뭐 어때, 아빠인데 뭐 어때,",,아빠,
저한테 추행을 해왔었어요.,"계속 아빠인데 뭐 어때, 아빠인데 뭐 어때, 그렇게 말을 하면서",,아빠,
평상시에 밖에서도 계속 엉덩이를 툭툭 친다거나,"그러면 추행을 해왔다고 표현을 해줬는데, 그 사람이 했던 행동들을 조금 자세하게 얘기해줄래요? ",,그 사람,
뽀뽀를 한다거나,"그러면 추행을 해왔다고 표현을 해줬는데, 그 사람이 했던 행동들을 조금 자세하게 얘기해줄래요? 
평상시에 밖에서도 계속 엉덩이를 툭툭 친다거나 제가 하지 말라고 했는데도 제가 싫은데도 ",,그 사람,
동생은 그냥 밖에서 보면 원래 일상적으로 그렇게 해왔잖아요.,자기가 깨우러 왔는데 왜 그러냐고 그런 식으로 말하면서 제가 가라고 했는데 동생도 그걸 보고 있었어요.,,자기,
"그렇게 하면서 막았는데,","그런데 제가 소리를 지르고 이렇게 하니까 동생이 와서 같이 누우면서 사이를 갈랐었다는 말이에요.
두 사람 사이에 누웠다고 동생이",,동생,
이렇게 말을 하셔가지고,엄마가 오셔가지고 “애가 하지 말라는데 하지 말아야지.”,,엄마,
"와서 끌어안으려고 하고, 엉덩이를 막 터치하고 그러니까","그러면 이날 그 사람이 어떤 식으로 깨우려고 하고, 장난 식으로 그렇게 행동을 했던 거예요? 어떤 행동들이었어요? 
제가 스킨십을 거부하게 되는 거 있잖아요. 그런 일들이 계속 있었으니까. 
아, 그런 일들이 계속 있었어서? 
네.",,그 사람,
발로 찼어요. 그 사람을.,"와서 끌어안으려고 하고, 엉덩이를 막 터치하고 그러니까 제가 너무 싫잖아요.",,제,
발로 차고 밀어내고 했는데,ㅣㅏㅡ ,,제,
억지로 끌어안으려고 그러고 그래가지고,"발로 찼어요. 그 사람을.
응. 
발로 차고 밀어내고 했는데 제가 운동을 했었거든요. 운동을 해도 힘으로 안 되는 거예요. 제가 해도",,그 사람,
발로 차고 그랬다는 말이에요.,"제가 해도 억지로 끌어안으려고 그러고 그래가지고 제가 소리도 지르고, “하지 말라고!” 그러면서",,제,
가운데로 끼어서 누웠어요.,그러니까 동생이 자기도 웃으면서 보다가 제가 막 화를 내고 울려고 하니까,,동생,
"제가 뿌리치면서도 계속 제 가슴쪽을 터치하고, 제 엉덩이를 터치하고 그랬었어요.","그러면 그날 몸에 스킨십은 안 했던 거예요? 그 사람이? 
아니요.",,그 사람,
올 시간이 됐고 하니까,"왜냐하면 불이 켜져 있던 상태였고, 동생이 보고 있었고, 엄마도 장을 보러가셨거든요.",,엄마,
직접적으로 만지거나 그러지는 않았어요. ,"그러면 그날 몸에 스킨십은 안 했던 거예요? 그 사람이? 
아니요. 제가 뿌리치면서도 계속 제 가슴쪽을 터치하고, 제 엉덩이를 터치하고 그랬었어요.
내가 이걸 왜 물어보느냐하면 조금 전에 설명했었던 내용들은 만졌다는 직접적인 이야기들을 해줬는데, 이건 약간 터치라는 식으로 이야기를 해서 그날은 조금 달랐는지 물어보는 거야. 
네. 왜냐하면 불이 켜져 있던 상태였고, 동생이 보고 있었고, 엄마도 장을 보러가셨거든요. 올 시간이 됐고 하니까",,그 사람,
강제적으로 끌어안고 뽀뽀하려고 하고 그랬었어요. ,"그러면 그날 몸에 스킨십은 안 했던 거예요? 그 사람이? 
아니요. 제가 뿌리치면서도 계속 제 가슴쪽을 터치하고, 제 엉덩이를 터치하고 그랬었어요.
내가 이걸 왜 물어보느냐하면 조금 전에 설명했었던 내용들은 만졌다는 직접적인 이야기들을 해줬는데, 이건 약간 터치라는 식으로 이야기를 해서 그날은 조금 달랐는지 물어보는 거야. 
네. 왜냐하면 불이 켜져 있던 상태였고, 동생이 보고 있었고, 엄마도 장을 보러가셨거든요. 올 시간이 됐고 하니까 직접적으로 만지거나 그러지는 않았어요.",,그 사람,
